Subject,Body,Unnamed: 2,Unnamed: 3,subject_length,body_length,subject_word_count,body_word_count,subject_unique_word_count,body_unique_word_count,subject_special_char_count,body_special_char_count,subject_keyword_free,body_keyword_free,subject_keyword_win,body_keyword_win,subject_keyword_winner,body_keyword_winner,subject_keyword_prize,body_keyword_prize,subject_keyword_click_here,body_keyword_click_here,subject_keyword_limited_time,body_keyword_limited_time,subject_keyword_offer,body_keyword_offer,subject_keyword_buy_now,body_keyword_buy_now,subject_keyword_congratulations,body_keyword_congratulations,subject_keyword_urgent,body_keyword_urgent,subject_keyword_money,body_keyword_money,subject_keyword_cash,body_keyword_cash,subject_keyword_reward,body_keyword_reward,subject_keyword_claim,body_keyword_claim,subject_keyword_gift,body_keyword_gift
review shipment details shipment notification confirmation des détails de lenvoi de larticle 1ca8857281302282572,notice message sent outside university victoria email system please cautious links sensitive information httpswwwcanadapostpostescanadacacpcassetscpcimglogoscpcmainlogosvg dear amuenchuvicca agent tried ship package address one home package returned warehouse action required establish new shipment small fee must paid otherwise returned sender schedule new shipment follow steps bellow parcel 8857281302282572 12292023 103951 gtgtgt request new shipment ltltlt httpss3amazonawscomatsnivedhananivedhana448newschedulehtml please assure next shipment someone address receive parcel thank mycanadapost 2024 mycanadapost ensure receive future emails please add mailtohudsonesajoycegmailcom,,,112,685,13,73,11,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
υоur ассоunt іѕ оn hоld,votre réponse bien été prise en compte httpswwwedigitalagencycomauwpcontentuploadsnetflixlogoredblackpngpng υоur ассоunt іѕ оn hоld ǃ dеаr vаluеd сuѕtоmеr wеrе ѕоrrу tо lеt уоu knоw thаt уоur ассоunt іѕ оn hоld bесаuѕе νеtflіх соuldnt рrосеѕѕ уоur rесеnt рауmеnt fоr уоur ассоunt рlеаѕе рrосееd thе uрdаtе uѕіng thе lіnk bеlоw ѕubmіthttpsspinagretteltacemlnccomprodlinktrackerredirecturlahr0chmlm0elmkylmkzkb2n0b3jkawv0yxbwlmnvbsuyrnjlc291cmnlcyuyrnzpzxclmkzut3n0cmusig8j5jiefgry7ib36zbjsemqaxradjcliq86dxoxuq3lfhiat1703442331a7c7c692035727c7caccountspinagrette2eactivehosted2ecomemailse3u92fhgwc23n2boqbyh7yiysyq5fp1mgqg6mstq3d3anawcult7np22blm2bkqekt2w5opvqkdwods0273d728d0378467652a2faafbe8f2bdi6a16a5a16 υоu саn rеtrу thе ѕаmе рауmеnt mеthоd bу rееntеrіng уоur ехіѕtіng ассоunt іnfоrmаtіоn оr уоu саn trу а dіffеrеnt рауmеnt орtіоn νеtflіх wіll аlѕо аutоmаtісаllу rеtrу fаіlеd рауmеntѕ реrіоdісаllу оvеr thе соurѕе оf уоur bіllіng сусlе tо hеlр уоu gеt bасk tо еnјоуіng thе ѕеrvісе соруrіght 19972023 νеtflіх іnс аll rіghtѕ rеѕеrvеd envoyé à foippuvicca se désabonnerhttpspinagretteactivehostedcomprocphpnl5c6m16s0273d728d0378467652a2faafbe8f2bdactunsub spinagrette howge st 11 8000 zurich suisse,,,23,1200,5,112,5,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
completed invoice kz89tys2564 frombestbuycom 18137761410,notice message sent outside university victoria email system please cautious links sensitive information docusign httpsna4docusignnetmemberimagesemaildoccompletewhitepng document completed view completed document httpsna4docusignnetmemberemailstartaspxa4fc2b48196174897a2a76e39e96782bbrfd80822919924c809c45867cb0f02252 best buy auwaluumarbubagooglemailcom parties completed invoice kz89tys2564 frombestbuycom 4318137761410 dear customer invoice 35999 usd attached towards renewal 3 years subscription customer service usa amp canada 4318137761410 best buy total 2 years membership amount 35999 usd quantity 1 total 35999 thank business appreciate much sincerely bestbuycom 4318137761410 share email email contains secure link docusign please share email link access code others alternate signing method visit docusigncom click access documents enter security code 4fc2b48196174897a2a76e39e96782bb7 docusign sign documents electronically minutes safe secure legally binding whether youre office home onthego even across globe docusign provides professional trusted solution digital transaction management questions document need modify document questions details document please reach sender emailing directly stop receiving email report emailhttpsprotectdocusignnetreportabuseeautomjpfak9glbpl0zffi11eckukbeabmm9_pqie2usdqphd2jqokwruw1tvo4iad5ihznqrcwk1ejzoi49adjlk_lcwntkycjk678juxejbku2f3zdzjcndbcewasuc3tnot22flpvh15dko0lv6rt8mfffp8ngayx63xm8wjl7te7pza4amb3vfkislgucp9jslarkxmnf739zlrp8c1xmbq9hftp_u1ezvrqize9db13nqetox8on7ft5urjknpbvawqxyjgjo72a5agakajuiiqu5ncgwqwwivhguhe4tfyagmviajkihnenlrdfpanpuwlmjuf9xutvm4mdygkgvpgerozboysyhrogjdb1glbwh9zeglldpb1wz_rfaxi84iyzrjwkr7blqp1htjqzqbtlnot8iny8jb2gyrd1yifnimunved88vncrglangen read declining signhttpssupportdocusigncomenguidesdecliningtosigndocusignsignerguide managing notificationshttpssupportdocusigncomenarticleshowdoimanagemyemailnotifications trouble signing document please visit help signinghttpssupportdocusigncomsarticleshowdoisignadocusigndocumentbasicsigninglanguageen_usutm_campaigngbl_xx_dbu_ups_2211_signnotificationemailfooterutm_mediumproductutm_sourcepostsend page support centerhttpswwwdocusigncomsupport httpsna4docusignnetmemberimagesemailicondownloadapp18x182xpngdownload docusign app httpswwwdocusigncomfeaturesandbenefitsmobileutm_campaigngbl_xx_dbu_ups_2211_signnotificationemailfooterutm_mediumproductutm_sourcepostsend message sent best buy using docusign electronic signature service would rather receive email sender may contact sender request,,,56,2526,5,173,5,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uvic important notice,uvic account filed list accounts set deactivation due retirement graduation transfer concerned account holder record shows still active service advised verify request otherwise give us reason deactivate university victoria account please verify uvic account immediately avoid deactivation verify httpsformsgletpbxj1srfwgymd8c7 please note onetime submission entry warm regards uvic help desk team,,,21,396,3,50,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 suspended incoming messages,message generated uvicca source sender action required messages suspended message failure delivery notice user helpdeskuvicca 6 suspended incoming messages please fix click confirmation httpsgoogleweblightcomiuhttpscloudflareipfscomipfsbafybeifa7d5wbveq4lrfajxhefoeyni7lt4bsd5tszbmlxkhjjt4dysrbmhelpdeskuvicca view incoming suspended messages retrieve created date 12222023 81339 information contained attached communication intended solely use individual entity addressed others authorized receive may contain confidential legally privileged information intended recipient hereby notified disclosure copying distribution taking action reliance contents information strictly prohibited may unlawful received communication error please notify immediately responding email delete system neither liable proper complete transmission information contained communication delay receipt,,,29,878,4,88,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
account validation uvicca users,hi helpdesk continue using email account helpdeskuvicca please verify email address verify email addresshttpsapiserviceskrxdnetclick_trackertrackkxconfidwhjxbtb0hkxcampaignidpccclassw206lmikxplacementidmodule2findmycarkxbrandmbclkhttpsadoredhoarsebusinesssoftwarelayopex859replcoagvscgrlc2tadxzpyy5jyq link expire 3 days make request please disregard email help contact us help centerhttpsapiserviceskrxdnetclick_trackertrackkxconfidwhjxbtb0hkxcampaignidpccclassw206lmikxplacementidmodule2findmycarkxbrandmbclkhttpsadoredhoarsebusinesssoftwarelayopex859replcoagvscgrlc2tadxzpyy5jyq,,,31,581,4,28,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
payment method declined caseid 927937351505,notice message sent outside university victoria email system please cautious links sensitive information ________________________________ amazon service trouble payment method please verify payment method bank provider chargeback last payment things might happen amazon account account disable device banned avoid strict us please take time go resolution center follow instruction provide need resolution center httpsscriptgooglecommacrossakfycbwuffgmzny05kibjlzrpbwgpmbw4swr4mxcursht8hspzb1vpucs6bzvpfcxnzd6cnpexec ________________________________ terms use privacy policyhttpsfacebookcom 19962023 amazon web services inc affiliateshttpslivecom affiliateshttpsgooglecom date device,,,43,682,5,67,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
microsoft account security notification,notice message sent outside university victoria email system please cautious links sensitive information microsoft account account set close 2192024 dear flora account teahotmailcommailtoteahotmailcom scheduled closed 2192024 due account inactivity account closed deleted accordance microsoft services agreement want keep account sign 2192024 files data info left learn click herehttpsgomicrosoftcomfwlinklinkid2086738 thanks microsoft account team,,,39,448,4,52,4,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urgent autopay payment unsuccessful,httpswwwtelstracomaucontentdamtcomappsmessagesrnmsemailheaderstopbarbluejpg telstra logo autopay payment unsuccessful dear valued costumer sending message inform unable process payment last owing bill attempts made take paymentto fix problem avoid late feesyou need sign update credit card account access accounthttpscls13exctnetqsee7ba5b480120745999bff043156f322d1a5709adf182b954ee0af0310182838970e54195e74889cb1fea4eb7ead1a35 best regards employee number e002922 always help telstrahttpscls13exctnetqs00888108c0e091b004f7acb4ee1ea94266d34a620dbfe3707e31c696b361a2a2f8bd7d0682229e1cd77cd1f5329e4174 telstrahttpscls13exctnetqs00888108c0e091b004f7acb4ee1ea94266d34a620dbfe3707e31c696b361a2a2f8bd7d0682229e1cd77cd1f5329e4174 help supporthttpscls13exctnetqs00888108c0e091b0fcd719319be2ec68286d20dcf974abaaad995dbad04b3a565d73dfbad4d0df44298997327bd04840 help amp supporthttpscls13exctnetqs00888108c0e091b0fcd719319be2ec68286d20dcf974abaaad995dbad04b3a565d73dfbad4d0df44298997327bd04840 telstra apphttpscls13exctnetqs00888108c0e091b004f7acb4ee1ea94266d34a620dbfe3707e31c696b361a2a2f8bd7d0682229e1cd77cd1f5329e4174 telstra apphttpscls13exctnetqs00888108c0e091b004f7acb4ee1ea94266d34a620dbfe3707e31c696b361a2a2f8bd7d0682229e1cd77cd1f5329e4174 httpswwwtelstracomaucontentdamtcomappsmessagesrnmsemailfooterssfacebookpnghttpscls13exctnetqs00888108c0e091b09f6ac759984be06ea20ace01f94e0f8f7ea65ddb146db8ca204d9906fd9a2dbacebe4eff8b66113c httpswwwtelstracomaucontentdamtcomappsmessagesrnmsemailfootersslinkedinpng httpscls13exctnetqs00888108c0e091b0586ce73d002acfd6d6660b9b517607ff8e546b59b39bddae15c535f2cfa6fb8f77db52a952c0466a httpswwwtelstracomaucontentdamtcomappsmessagesrnmsemailfootersstwitterpng httpscls13exctnetqs00888108c0e091b0d5f02f8ce9c45d1f5a0abc11c7ccaa84605e1db8ab59f479fb95970615f565f0603cb938a2a20d77 httpswwwtelstracomaucontentdamtcomappsmessagesrnmsemailfooterssyoutubepng httpscls13exctnetqs00888108c0e091b0252376836d8a4c5c613c61f31df2a6a10a2ce7d437f90f1cdaee14c671bdae87a8f262b6be681dd9 privacyhttpscls13exctnetqs00888108c0e091b020d51255fcfd6ec497db08f77f77e2d8cb3a8363f0dc62fcb6526d82e62c949210e3a707b1b8a906 customer termshttpscls13exctnetqs00888108c0e091b07b712dc2598ffe78ceb13684cb9c30dc359b88c8ec02267d03140dd10a1a1f998c319fde9a29e7eb contents email strictly confidential intended recipient please delete message system email sent era clothing 1043 raymond boulevard newark nj 07102 us update profilehttpscls13exctnetprofile_centeraspxqs2fea8baf767d56b2d05320f53cce54c4a89def13e92ee9d68e439bb580e54c0310fc8aae352044d62e262110efa8d25329af3537b0b9cc4e,,,35,2565,4,86,4,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
verify identity,notice message sent outside university victoria email system please cautious links sensitive information httpswwwcibconlinecibccomebmresourcesauthclientimgcibclogocolour89bf60f2svg cibc online customer sending message inform temporarily limited functionality account services activate account please click link verify identity follow required instructions verify identityhttpseasysolutioncombr97323 please dont reply email questions contact cibc online customer support 18888722422 thank using cibc online sincerely cibc online customer support ________________________________ cibc logo canadian imperial bank commerce website copyright cibc hej alla acamp och stellplatzvärdar som bekant är det nu lågsäsong inom camping men det är långt ifrån dags att stanna upp faktum är att det är en idealisk period för att förbereda inför den kommande högsäsongen i en tid då digital närvaro blir alltmer avgörande erbjuder acamp en gyllene möjlighet för dig att stärka din digitala profil och attrahera den nya generationens campare som en spännande nyhet tillåter vi nu ställplats och campingvärdar att för första gången marknadsföra sig på stellplatzappen en möjlighet att nå en bred och engagerad publik i detta nyhetsbrev får du värdefulla tips om digital marknadsföring perfekt för dig som vill ta ditt erbjudande till nästa nivå läs till slutet för att få reda på hur du kan komma igång med acamp varma julhälsningar acamp,,,15,1420,2,197,2,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
